endTime,artistName,trackName,msPlayed
2020-09-15 01:57,The Trews,Highway of Heroes,95728
2020-09-15 02:07,Chris Rice,Lemonade,94917
2020-09-15 02:10,Colony House,Moving Forward,217986
2020-09-15 02:12,Virginia To Vegas,betterman,69538
2020-09-15 02:13,Hawthorn Street,Different Destinations,74516
2020-09-15 02:14,Mat Kearney,Coming Home (Oregon),75574
2020-09-15 02:18,Ocean Park Standoff,Lost Boys,60681
2020-09-15 02:19,Ryan Shupe & The Rubberband,Dream Big,74194
2020-09-15 02:20,Coastal Club,honey,49022
2020-09-15 02:21,Alex Boyé,Lemonade,57183
2020-09-15 02:26,Carbon Leaf,Life Less Ordinary,175742
2020-09-15 02:28,Pretty Decent,Feels Good to Be Free,103567
2020-09-15 02:33,Hardcastle,Something I've Been Waiting On,76789
2020-09-15 02:34,DREAMERS,Celebrate,93010
2020-09-15 02:35,Ryan Pishotti,Let the Good Ones Go,59630
2020-09-15 02:37,HOUNDS,Shake Me Up,86110
2020-09-15 02:39,Willie Shaw,Needed Somebody,148543
2020-09-15 02:40,The Wonders,Dance With Me Tonight,70842
2020-09-15 05:37,Hillsong Worship,I Surrender - Live,346346
2020-09-15 05:40,Zac Brown Band,Whatever It Is,208213
2020-09-15 05:44,Luke Combs,Even Though I'm Leaving,225253
2020-09-15 05:45,Dierks Bentley,"Woman, Amen",46045
2020-09-15 05:47,Paramore,crushcrushcrush,120350
2020-09-15 05:51,TWICE,Like Ooh-Ahh,215080
2020-09-15 06:00,Jonas Brothers,That's Just The Way We Roll,173000
2020-09-15 06:04,Luke Combs,Beautiful Crazy,193200
2020-09-15 06:05,Chris Tomlin,"Sing, Sing, Sing",64706
2020-09-15 06:09,Chris Stapleton,Starting Over,240413
2020-09-15 06:10,The Beach Boys,Kokomo,49778
2020-09-15 06:13,Hot Country Knights,Pick Her Up - Radio Edit,168477
2020-09-15 06:20,Dean Brody,It's Friday,190960
2020-09-15 06:22,Hunter Hayes,Everybody's Got Somebody but Me (feat. Jason Mraz) - Encore,73565
2020-09-15 18:41,Dallas Smith,Some Things Never Change (feat. HARDY),171626
2020-09-15 18:49,Foo Fighters,Learn to Fly,235293
2020-09-15 18:52,Florida Georgia Line,H.O.L.Y.,194186
2020-09-15 18:57,Keith Urban,Better Life,283560
2020-09-15 19:01,Luke Bryan,Most People Are Good,221800
2020-09-15 19:06,Miley Cyrus,The Climb,136961
2020-09-15 19:09,Two Door Cinema Club,What You Know,191706
2020-09-15 19:14,Kid Rock,All Summer Long,297586
2020-09-15 19:30,Lady A,We Owned The Night,190532
2020-09-15 19:33,Demi Lovato,Really Don't Care,158460
2020-09-15 21:05,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,52808
2020-09-15 21:23,One Direction,Drag Me Down,60587
2020-09-15 21:26,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,215978
2020-09-15 22:13,Aaron Taos,Control,184768
2020-09-15 22:36,Alan Jackson,Remember When,38331
2020-09-15 22:36,Pritam,Cutiepie,231562
2020-09-15 22:43,Fairground Saints,Somethin' From Nothin',219880
2020-09-15 22:49,Five For Fighting,Superman (It's Not Easy),211853
2020-09-15 23:02,Evan Todd,Blue,167853
2020-09-15 23:07,Twenty One Pilots,The Judge,297760
2020-09-15 23:12,Brad Paisley,Southern Comfort Zone,290123
2020-09-15 23:15,Florida Georgia Line,U.S. Stronger,184186
2020-09-15 23:25,Spencer Crandall,Do It All Again,135736
2020-09-16 05:57,Chris Stapleton,Starting Over,173020
2020-09-16 17:12,ABBA,Slipping Through My Fingers,233720
2020-09-16 17:23,Dallas Smith,Some Things Never Change (feat. HARDY),171626
2020-09-16 17:26,The Chainsmokers,Closer,143139
2020-09-16 17:29,Fairground Saints,Somethin' From Nothin',219880
2020-09-16 17:32,Fall Out Boy,Centuries,53726
2020-09-16 17:35,Zac Brown Band,Natural Disaster,182133
2020-09-16 17:40,Gorillaz,Feel Good Inc.,222640
2020-09-16 17:46,MKTO,Party With My Friends,153324
2020-09-16 17:48,Five For Fighting,100 Years,127333
2020-09-16 18:59,The Foundations,Build Me Up Buttercup,177533
2020-09-16 19:01,Blackjack Billy,The Booze Cruise,175560
2020-09-16 19:03,Crowder,Lift Your Head Weary Sinner (Chains),114652
2020-09-16 19:21,Rifti Beats,Cha La Head Cha La,224307
2020-09-16 19:25,Old Dominion,My Heart Is a Bar,219430
2020-09-16 21:15,Sister Hazel,Mandolin Moon,80801
2020-09-16 21:45,Phil Collins,You Can't Hurry Love - 2016 Remaster,128364
2020-09-16 21:49,One Direction,Story of My Life,86614
2020-09-16 21:59,Sammy Johns,Chevy Van,84659
2020-09-16 22:07,Chris Tomlin,Who You Are To Me (feat. Lady A),230108
2020-09-16 22:08,The Afters,Broken Hallelujah,45070
2020-09-16 22:11,Gary Glitter,Rock And Roll Part II,180600
2020-09-16 22:14,Kim Tae Woo,Love Rain,183048
2020-09-16 22:36,Fairground Saints,Somethin' From Nothin',177384
