endTime,artistName,trackName,Day of the Week,Genres,msPlayed
2020-04-05 01:57,Dan + Shay,"10,000 Hours (with Justin Bieber)",Sunday,"['contemporary country', 'pop']",161454
2020-04-05 02:17,Carly Pearce,I Hope You’re Happy Now,Sunday,"['contemporary country', 'country pop']",184976
2020-04-05 02:20,Chris Young,Town Ain't Big Enough,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock']",171800
2020-04-05 02:23,Selena,Bidi Bidi Bom Bom,Sunday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",178307
2020-04-05 02:27,Rascal Flatts,I Won't Let Go,Sunday,"['contemporary country', 'country', 'country road', 'pop rock']",227760
2020-04-05 02:33,Luke Combs,Beautiful Crazy,Sunday,['contemporary country'],180102
2020-04-05 20:36,Carly Pearce,I Hope You’re Happy Now,Sunday,"['contemporary country', 'country pop']",198688
2020-04-05 20:40,Jordan Davis,Take It From Me,Sunday,['contemporary country'],44340
2020-04-05 20:41,Brooke White,Calico,Sunday,['idol'],43570
2020-04-05 20:44,The Click Five,Just the Girl,Sunday,"['boy band', 'neo mellow', 'neon pop punk', 'pixie', 'pop punk', 'pop rock']",208900
2020-04-05 20:45,Brendan James,Yellow Lines,Sunday,"['acoustic pop', 'indiecoustica', 'neo mellow']",42860
2020-04-05 20:46,Parachute,Without You,Sunday,"['acoustic pop', 'charlottesville indie', 'indiecoustica', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",59720
2020-04-05 20:47,Francesca Battistelli,Free to Be Me,Sunday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']",85130
2020-04-05 20:56,Carrie Underwood,Southbound,Sunday,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'oklahoma country', 'pop', 'post-teen pop']",202853
2020-04-05 20:58,Christian Lopez,Don't Wanna Say Goodnight,Sunday,['folk-pop'],84250
2020-04-05 21:05,Capital Lights,Let Your Hair Down,Sunday,"['christian alternative rock', 'christian punk', 'christian rock']",253510
2020-04-05 21:08,Dan Seals,Bop,Sunday,"['classic country pop', 'country', 'country rock']",177390
2020-04-05 21:09,Judah & the Lion,Passion Fashion feat. Jon Bellion,Sunday,"['banjo', 'folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",46700
2020-04-05 21:11,The Bundys,King,Sunday,[],149720
2020-04-05 21:17,Tyler Russell,Now or Never,Sunday,[],48230
2020-04-05 21:18,Josh Kelley,Amazing,Sunday,"['acoustic pop', 'neo mellow']",58180
2020-04-05 21:20,Tenille Townes,Somebody's Daughter,Sunday,"['alberta country', 'contemporary country', 'country pop']",41230
2020-04-05 21:21,Little Big Town,Boondocks,Sunday,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",59560
2020-04-05 21:24,Sam Hunt,2016,Sunday,"['contemporary country', 'country pop']",124640
2020-04-05 21:25,Ailee,Like Yesterday,Sunday,"['k-pop', 'korean pop']",44690
2020-04-05 21:25,The Worship Initiative,Behold The Lamb,Sunday,"['anthem worship', 'ccm', 'indiecoustica', 'roots worship', 'world worship']",34020
2020-04-05 21:26,Green Day,Oh Love - Otis Big Guitar Mix,Sunday,"['permanent wave', 'pop punk', 'punk']",45150
2020-04-05 22:28,Emotional Oranges,Sundays,Sunday,['alternative r&b'],189093
2020-04-05 22:31,Sam Hunt,Hard To Forget,Sunday,"['contemporary country', 'country pop']",204760
2020-04-05 22:44,The Weeknd,Blinding Lights,Sunday,"['canadian contemporary r&b', 'canadian pop', 'pop']",105306
2020-04-05 23:18,The Weeknd,Blinding Lights,Sunday,"['canadian contemporary r&b', 'canadian pop', 'pop']",96569
2020-04-05 23:22,KANA-BOON,Silhouette,Sunday,"['anime', 'j-pop', 'j-poprock', 'j-rock']",240133
2020-04-05 23:23,Luke Bryan,One Margarita,Sunday,"['contemporary country', 'country', 'country road']",56784
2020-04-06 20:20,Emotional Oranges,Sundays,Monday,['alternative r&b'],189093
2020-04-06 20:24,Emotional Oranges,West Coast Love,Monday,['alternative r&b'],215386
2020-04-06 20:42,Riley Green,I Wish Grandpas Never Died,Monday,"['contemporary country', 'country road']",250413
2020-04-06 20:43,Kelleigh Bannen,Famous,Monday,"['contemporary country', 'country dawn', 'country pop']",34276
2020-04-06 20:49,Ed Sheeran,Castle on the Hill,Monday,"['pop', 'uk pop']",261153
2020-04-06 21:10,Selena,Bidi Bidi Bom Bom,Monday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",187524
2020-04-06 21:14,Selena,El Chico Del Apartamento 512,Monday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",208866
2020-04-06 21:20,Antonio Banderas,Cancion del Mariachi,Monday,['hollywood'],127226
2020-04-06 21:21,Shawn Mendes,Señorita,Monday,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",50023
2020-04-06 21:26,P!nk,A Million Dreams,Monday,"['dance pop', 'pop', 'post-teen pop']",273640
2020-04-06 21:26,Iyaz,Replay,Monday,"['dance pop', 'pop rap', 'post-teen pop']",40130
2020-04-06 21:37,Cash Cash,I Found You,Monday,"['big room', 'dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",167307
2020-04-06 21:40,Phil Collins,"Son of Man - From ""Tarzan""/Soundtrack Version",Monday,"['mellow gold', 'rock drums', 'soft rock']",166040
2020-04-06 22:24,Counting Crows,Big Yellow Taxi,Monday,"['alternative rock', 'mellow gold', 'neo mellow', 'pop rock', 'rock']",68340
2020-04-06 22:44,Juan Magán,Echa Pa Aca,Monday,"['dance pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'tropical']",184113
2020-04-06 22:50,Tiësto,WOW,Monday,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'trance', 'tropical house']",148125
2020-04-06 22:52,3 Doors Down,Kryptonite,Monday,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",99254
2020-04-07 00:01,3 Doors Down,Kryptonite,Tuesday,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",48423
