,endTime,artistName,trackName,Genre,Day of the Week,Genres,msPlayed
545,4/28/2020 7:18,Phil Collins,You Can't Hurry Love - 2016 Remaster,mellow gold,Tuesday,"['mellow gold', 'rock drums', 'soft rock']",75280
546,4/28/2020 19:10,Billy Joel,The Longest Time,album rock,Tuesday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",200274
547,4/28/2020 19:20,Luke Bryan,One Margarita,contemporary country,Tuesday,"['contemporary country', 'country', 'country road']",110970
548,4/29/2020 0:50,Michael Bublé,Feeling Good,adult standards,Wednesday,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",42410
549,4/29/2020 20:47,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",hollywood,Wednesday,['hollywood'],187853
550,4/29/2020 20:53,The Tokens,Tonight I Met an Angel,brill building pop,Wednesday,"['brill building pop', 'doo-wop', 'sunshine pop']",118306
551,4/29/2020 20:57,Emotional Oranges,West Coast Love,alternative r&b,Wednesday,['alternative r&b'],215386
552,4/29/2020 21:01,Elvis Presley,(You're The) Devil In Disguise,rock-and-roll,Wednesday,"['rock-and-roll', 'rockabilly']",140680
553,4/29/2020 21:27,Brad Paisley,Mud on the Tires,contemporary country,Wednesday,"['contemporary country', 'country', 'country road']",208266
554,4/30/2020 7:25,AMP,Never Change,christian,Thursday,['christian'],49300
555,4/30/2020 19:09,Kings of Leon,Sex on Fire,modern rock,Thursday,"['modern rock', 'rock']",58268
556,4/30/2020 19:11,Kings of Leon,Sex on Fire,modern rock,Thursday,"['modern rock', 'rock']",144935
557,4/30/2020 19:15,Billy Joel,The Longest Time,album rock,Thursday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",217906
558,4/30/2020 19:19,Runrig,Tear Down These Walls,celtic,Thursday,"['celtic', 'celtic rock', 'scottish rock']",248413
559,4/30/2020 19:22,Sam Hunt,Hard To Forget,contemporary country,Thursday,"['contemporary country', 'country pop']",204760
560,4/30/2020 19:27,Zac Brown Band,From Now On,contemporary country,Thursday,"['contemporary country', 'country', 'country road', 'modern country rock']",260960
561,4/30/2020 19:31,Brad Paisley,Moonshine in the Trunk,contemporary country,Thursday,"['contemporary country', 'country', 'country road']",238613
562,4/30/2020 19:35,Keith Urban,I'm In,australian country,Thursday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",273520
563,4/30/2020 19:39,Terry Jacks,Seasons in the Sun,classic uk pop,Thursday,['classic uk pop'],205586
564,4/30/2020 19:43,Gloria Gaynor,I Will Survive - 1981 Re-recording,disco,Thursday,"['disco', 'europop']",261173
565,4/30/2020 19:47,U2,The Miracle (Of Joey Ramone),irish rock,Thursday,"['irish rock', 'permanent wave', 'rock']",255382
566,4/30/2020 19:50,The Weeknd,Blinding Lights,canadian contemporary r&b,Thursday,"['canadian contemporary r&b', 'canadian pop', 'pop']",200040
567,4/30/2020 19:53,Hot Country Knights,Pick Her Up - Radio Edit,contemporary country,Thursday,['contemporary country'],168477
568,4/30/2020 19:57,Zac Brown Band,Mango Tree,contemporary country,Thursday,"['contemporary country', 'country', 'country road', 'modern country rock']",221120
569,4/30/2020 20:01,Ailee,여인의 향기,k-pop,Thursday,"['k-pop', 'korean pop']",212560
570,4/30/2020 20:02,Selena,Bidi Bidi Bom Bom,dance pop,Thursday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",55456
571,4/30/2020 22:26,Emotional Oranges,West Coast Love,alternative r&b,Thursday,['alternative r&b'],196917
