endTime,artistName,trackName,Day of the Week,Genres,msPlayed
4/9/2020 3:54,Boys Like Girls,Five Minutes to Midnight,Thursday,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",227360
4/9/2020 4:06,Hillsong UNITED,Hosanna,Thursday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",330360
4/9/2020 4:13,The Goo Goo Dolls,Come to Me,Thursday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
4/9/2020 4:30,Tim McGraw,Just To See You Smile,Thursday,"['contemporary country', 'country', 'country road']",215173
4/9/2020 4:50,Robin Schulz,Sugar (feat. Francesco Yates),Thursday,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",219043
4/9/2020 4:59,David Ball,Riding With Private Malone,Thursday,"['country', 'country road', 'country rock']",275053
4/9/2020 5:06,Journey,Faithfully,Thursday,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",253530
4/9/2020 20:57,Twenty One Pilots,Fake You Out,Thursday,"['modern rock', 'rock']",231320
4/9/2020 22:42,HIXTAPE,Nothin’ Out Here (HARDY feat. Thomas Rhett),Thursday,['contemporary country'],176530
4/10/2020 1:12,Gorillaz,Feel Good Inc.,Friday,['alternative hip hop'],69740
4/10/2020 1:15,Gorillaz,Clint Eastwood,Friday,['alternative hip hop'],111620
4/10/2020 2:22,Carly Pearce,I Hope You’re Happy Now,Friday,"['contemporary country', 'country pop']",90925
4/10/2020 2:25,Rascal Flatts,I Won't Let Go,Friday,"['contemporary country', 'country', 'country road', 'pop rock']",224129
4/10/2020 2:50,Plain White T's,Rhythm Of Love,Friday,"['neo mellow', 'pop', 'pop punk', 'pop rock']",73091
4/10/2020 2:51,Dean Brody,It's Friday,Friday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",75982
4/10/2020 2:54,Phillip Phillips,Home,Friday,"['folk-pop', 'modern rock', 'neo mellow', 'pop rock']",210173
4/10/2020 2:56,Taylor Swift,The Lucky One,Friday,"['dance pop', 'pop']",72953
4/10/2020 2:59,Ed Sheeran,Nancy Mulligan,Friday,"['pop', 'uk pop']",179786
4/10/2020 3:02,Ed Sheeran,Happier,Friday,"['pop', 'uk pop']",207520
4/10/2020 3:05,Luke Combs,Beautiful Crazy,Friday,['contemporary country'],193200
4/10/2020 3:09,Lady A,What I’m Leaving For,Friday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",196643
4/10/2020 3:11,The Goo Goo Dolls,Sympathy,Friday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",120470
4/10/2020 22:22,Gorillaz,Feel Good Inc.,Friday,['alternative hip hop'],222640
4/10/2020 22:30,Gorillaz,Clint Eastwood,Friday,['alternative hip hop'],232348
4/10/2020 22:33,U2,Vertigo,Friday,"['irish rock', 'permanent wave', 'rock']",194520
4/10/2020 22:36,Hollywood Undead,Another Way Out,Friday,"['alternative metal', 'modern rock', 'nu metal', 'rap metal', 'rap rock']",167666
4/10/2020 22:40,Pitbull,Free Free Free,Friday,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop dance', 'pop rap']",200727
4/11/2020 6:59,Jelani Aryeh,Stella Brown,Saturday,"['alternative r&b', 'bedroom soul']",125357
4/11/2020 20:23,Jelani Aryeh,Stella Brown,Saturday,"['alternative r&b', 'bedroom soul']",187415
4/11/2020 20:24,Joey + Rory,"Cheater, Cheater",Saturday,"['country', 'country dawn']",50761
4/11/2020 20:27,Emotional Oranges,West Coast Love,Saturday,['alternative r&b'],215386
4/11/2020 20:28,VERIDIA,Disconnected,Saturday,"['christian alternative rock', 'christian rock', 'pixie', 'pop emo']",48986
