,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
201,10/11/2019 18:56,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),pop,199458,Friday
202,10/11/2019 20:42,Zac Brown Band,2 Places at 1 Time,contemporary country,147083,Friday
203,10/11/2019 21:14,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",dance pop,218776,Friday
204,10/11/2019 21:17,Neil Diamond,Cracklin' Rosie,adult standards,178853,Friday
205,10/11/2019 21:21,Old Dominion,My Heart Is a Bar,contemporary country,238986,Friday
206,10/11/2019 21:27,Billy Joel,We Didn't Start the Fire,album rock,142321,Friday
207,10/11/2019 21:58,Bowling For Soup,Almost,comic,206160,Friday
208,10/11/2019 22:01,Victorious Cast,Take A Hint,dance pop,84784,Friday
209,10/13/2019 7:19,Stellar Kart,For the First Time in Forever,ccm,43035,Sunday
210,10/13/2019 22:05,Prince Royce,Back It Up (feat. Jennifer Lopez & Pitbull) - Spanish Version,bachata,200952,Sunday
211,10/13/2019 22:15,Fall Out Boy,Dear Future Self (Hands Up) [feat. Wyclef Jean],emo,171173,Sunday
212,10/13/2019 22:22,Rascal Flatts,My Wish,contemporary country,248280,Sunday
213,10/13/2019 22:29,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),contemporary country,100000,Sunday
214,10/13/2019 22:36,The All-American Rejects,Dirty Little Secret,modern rock,193653,Sunday
215,10/13/2019 22:36,Chris Tomlin,Come Home Running,ccm,37917,Sunday
216,10/14/2019 14:40,Dan + Shay,My Side of the Fence,contemporary country,219826,Monday
217,10/14/2019 15:43,Eagles,Take It Easy - 2013 Remaster,album rock,193870,Monday
218,10/14/2019 16:44,Old Dominion,Nowhere Fast,contemporary country,188960,Monday
219,10/14/2019 16:48,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),dance pop,196440,Monday
220,10/14/2019 16:52,Stellar Kart,Can You Feel The Love Tonight,ccm,224573,Monday
221,10/14/2019 18:51,Zac Brown Band,Mango Tree,contemporary country,95286,Monday
222,10/14/2019 20:47,ABBA,Chiquitita,europop,284460,Monday
223,10/14/2019 20:50,Neil Diamond,Cracklin' Rosie,adult standards,178853,Monday
224,10/14/2019 21:37,Old Dominion,Break Up with Him,contemporary country,154205,Monday
225,10/15/2019 15:04,Rex Orange County,Loving Is Easy,bedroom pop,155720,Tuesday
226,10/15/2019 15:04,Macklemore & Ryan Lewis,Same Love - feat. Mary Lambert,dance pop,32770,Tuesday
